CMPD_CHEMBLID	CANONICAL_SMILES	ACTIVITY_ID	Inhibition
CHEMBL270544	CC(=Cc1cccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c12)C	8093877	17.65
CHEMBL191105	CN(C)CCCn1c(nc2cnccc12)c3nonc3N	8211328	6.17
CHEMBL103104	NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c3cccc(O)c3)cc1	8159747	7.23
CHEMBL237571	COc1ccc2cc(ccc2c1)c3c(nc(c4ccc(cc4C)S(=O)(=O)C)n3C)c5ccncc5	8158362	11.14
CHEMBL361237	Nc1nc(c2ccc(F)cc2)c(s1)c3ccc4ncccc4n3	8186511	6.76
CHEMBL456252	COc1cc2CCCN(C(=O)CN(C)C)c2cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3	8155234	1.85
CHEMBL458865	COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)N)c4cc[nH]c4n2)N5CCN(CC5)C(C)C	8099014	2.03
CHEMBL1909404	NC(=O)c1ccc2c(c3ccnc(NCCCO)n3)c(nn2c1)c4ccc(F)cc4	8172938	4.59
CHEMBL1794068	C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OCC4CCN(C)CC4)cc23)c5ccccc5C(F)(F)F	8146929	-2.39
CHEMBL506414	Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1	8101241	-0.37
CHEMBL247228	Nc1ncnc2occ(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12	8126644	-2.37
CHEMBL373073	COc1ccc(cc1)c2oc3ncnc(N)c3c2	8138579	7.71
CHEMBL251549	NC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1	8106625	19.61
CHEMBL485598	CC1=C(C(N=C(N1)c2ccc(nc2)C(F)(F)F)c3ccc(F)cc3)C(=O)Nc4ccc5[nH]ncc5c4	8200262	1.91
CHEMBL205158	C(CN1CCOCC1)Oc2ccc(cc2)c3cc(ccn3)c4c[nH]nc4c5ccccn5	8219400	4.5
CHEMBL346551	O=C1NC(=O)C(=C1Nc2ccccc2)c3ccccc3	8207471	9.57
CHEMBL1909362	Cl.CN(C)CCNC(=O)Nc1ccc(cc1)N(C)c2ccnc(Nc3ccc(CS(=O)(=O)C)cc3)n2	8195593	-1.93
CHEMBL486124	Cc1nc(c2ccccc2)n3nc(NCCCN4CCOCC4)ncc13	8094956	4.63
CHEMBL1909376	Cl.CCn1c(nc2cncc(C(=O)N3CCNCC3)c12)c4nonc4N	8092337	4.72
CHEMBL232601	O=C(Nc1sc2N(CCCc2c1C#N)C(=O)C3CC3)c4cccc5ccccc45	8224891	16.11
CHEMBL1909372	Cl.CN1CCN(CCCNc2nc3ccc(Oc4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)cc3[nH]2)CC1	8171129	1.78
CHEMBL13972	Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccnc(Oc5ccc(cc5)C#N)n4	8109239	3.3
CHEMBL185962	Nc1nonc1c2nc3cnccc3n2C4CC4	8213405	-0.07
CHEMBL218970	CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1	8137146	10.63
CHEMBL275666	Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccnc(Oc5cccc(c5)C(F)(F)F)n4	8100575	7.58
CHEMBL1096290	CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)c4nonc4N	8077056	3.25
CHEMBL517507	Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)NC4CCC4	8084485	0.59
CHEMBL183993	CCOc1ccc2c(cnn2n1)c3ccnc(Nc4cccc(c4)C(F)(F)F)n3	8090764	5.28
CHEMBL463931	COc1cc2c(cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3)N(CCC2(C)C)C(=O)CN(C)C	8176064	2.78
CHEMBL67241	CCCNc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23	8141697	11.66
CHEMBL263796	CNC(=O)c1cncc(\C=C\c2c(Cl)cccc2Cl)c1	8091330	2.48
CHEMBL468963	CN1CCN(CC1)c2ccc(Nc3nccc(n3)c4cnn5ncccc45)cc2C(F)(F)F	8070943	17.57
CHEMBL517666	CCC(=O)Nc1ccc(C)c(c1)c2ccc(cc2)C(=O)NCC3CC3	8091709	4.69
CHEMBL1909397	Cc1cc(Cl)cc2C(=NNc3ccc(cc3)S(=O)(=O)N)C(=O)Nc12	8072443	12.66
CHEMBL1909407	Cl.Nc1nccc(n1)c2c(ncn2C3CCNCC3)c4ccc(F)cc4	8226242	3.47
CHEMBL1909344	Cl.CN1CCC(CC1)C(=O)Nc2n[nH]c3nnc(cc23)c4ccccc4	8184456	17.56
CHEMBL260417	Oc1ccc(cc1)c2nc3[nH]nc(NC(=O)C4CC4)c3cc2Br	8212028	54.95
CHEMBL176857	COc1ccccc1c2cc(\C=C\3/C(=O)Nc4ncc(Br)cc34)cc(Br)c2O	8194566	0.51
CHEMBL1909361	Cl.CN(c1ccc(NC(=O)NCCN2CCOCC2)cc1)c3ccnc(Nc4ccc(CS(=O)(=O)C)cc4)n3	8165390	14.96
CHEMBL1794073	Cl.CN(c1ccc2c(C)nn(C)c2c1)c3ccnc(Nc4cccc(c4)S(=O)(=O)N)n3	8180254	54.89
CHEMBL14014	Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccnc(Oc5cccc(F)c5)n4	8127293	2.69
CHEMBL1909378	Cl.NC(=O)c1ccc(cc1)c2nc(c3ccccn3)c([nH]2)c4ccc5OCOc5c4	8065371	8.87
CHEMBL215814	CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(c4)C(F)(F)F)c3c2	8206444	13.35
CHEMBL189148	Clc1ccc(cc1)c2nn3ncccc3c2c4ccnc(Nc5ccccc5)n4	8204825	-2.06
CHEMBL1794061	Cl.N#Cc1cccc(Nc2oc(cn2)c3ccccc3)c1	8069774	10.73
CHEMBL1909381	Cl.Cc1ccc(Nc2ccnc(Nc3cccc(c3)C(=O)N)n2)cc1O	8219016	32.66
CHEMBL218720	CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3ccc4[nH]nc(C)c4c3	8161559	70.66
CHEMBL269450	Fc1ccc(Oc2nccc(n2)c3c(ncn3C4CCNCC4)c5ccc(F)cc5)cc1	8140131	-0.55
CHEMBL1516890	Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14	8063954	-6.11
CHEMBL516908	Cc1ccc(NC(=O)CC2CC2)cc1c3ccc(cc3)C(=O)NCC4CC4	8210395	6.97
CHEMBL269985	COc1ccc(CNC(=O)c2ccc(cc2)c3cc(ccc3C)c4oc(C)nn4)cc1	8196758	19.92
CHEMBL1794067	C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OC[C@@H](O)CO)cc23)c4ccccc4Cl	8080952	0.21
CHEMBL270054	NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(Cl)cc23)cc1	8192549	11.66
CHEMBL1794064	CCn1c(nc2c(ncc(OCCCN)c12)C#CCN)c3nonc3N.OC(=O)C(F)(F)F	8115280	13.73
CHEMBL513897	CCCN1CCC=C(C1)c2ccc(Nc3nc(Nc4ccccc4C(=O)N)c5cc[nH]c5n3)c(C)c2	8099865	3.46
CHEMBL477069	CCCN1CCCC(C1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2	8168387	-0.81
CHEMBL529066	Cl.CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2	8122101	1.78
CHEMBL179465	CCS(=O)(=O)c1ccc(OC)c(Nc2oc(cn2)c3cccc(F)c3)c1	8131848	10.43
CHEMBL1909395	Cl.Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)c5oc(CNCCS(=O)(=O)c6ccccc6)cc5)cc2Cl)c1	8149542	5.23
CHEMBL275473	CCN(CC)S(=O)(=O)c1ccc(OC)c(Nc2oc(cn2)c3ccccc3)c1	8106978	0.33
CHEMBL231013	COc1ccc(cc1C(=O)N)c2ccncc2	8105438	3.27
CHEMBL427159	COc1ccc(cc1)c2nn3ncccc3c2c4ccnc(Nc5ccc(F)c(F)c5)n4	8190711	14.56
CHEMBL273611	Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccnc(Oc5ccc6OCOc6c5)n4	8140881	4.29
