"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL1795071",404.37,3.47,"OP(=O)(O)O.N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34",28.0
"CHEMBL1822511",376.42,4.17,"COc1cc(Nc2ncc3ccc(c4ccccc4)n3n2)cc(OC)c1OC",0.2
"CHEMBL1822525",565.7,3.05,"COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C[C@H](C)O)CC5",379.0
"CHEMBL1833986",413.49,3.45,"NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cnc(N)nc6",15.0
"CHEMBL1834949",278.29,3.61,"Fc1ccc2c(c1)c3C(=O)NC=Cc3n2c4ccccc4",1100.0
"CHEMBL1835015",258.26,2.0,"CNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12",210.0
"CHEMBL1835017",300.34,3.17,"CCCCNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12",49.0
"CHEMBL1835019",300.34,3.02,"CC(C)CNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12",74.0
"CHEMBL1835021",328.39,3.8,"C[C@@H](Nc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12)C(C)(C)C",210.0
"CHEMBL1835023",312.35,3.31,"NC(=O)c1cnc(NC2CCCC2)c3c4cc(F)ccc4[nH]c13",51.0
"CHEMBL1835025",340.4,4.09,"NC(=O)c1cnc(NC2CCCCCC2)c3c4cc(F)ccc4[nH]c13",19.0
"CHEMBL1835027",298.32,2.55,"NC(=O)c1cnc(N2CCCC2)c3c4cc(F)ccc4[nH]c13",230.0
"CHEMBL1835030",308.39,3.56,"NC(=O)c1cnc(NC2CCCCC2)c3c4ccccc4[nH]c13",59.0
"CHEMBL1835032",342.83,4.21,"NC(=O)c1cnc(NC2CCCCC2)c3c1[nH]c4cccc(Cl)c34",110.0
"CHEMBL1835034",384.48,5.23,"NC(=O)c1cnc(NC2CCCCC2)c3c4cc(ccc4[nH]c13)c5ccccc5",180.0
"CHEMBL1835036",388.48,3.96,"Cn1cc(cn1)c2ccc3[nH]c4c(cnc(NC5CCCCC5)c4c3c2)C(=O)N",13.0
